car_model,price,year_model,kms
Volkswagen Jetta 2.0,$22.000.000,2007,108.000
Volkswagen Jetta 2.0 Trendline,$45.500.000,2017,58.000
Volkswagen Jetta gli 1.8,$42.000.000,2014,77.500
Volkswagen Jetta 2.0 Trendline,$25.900.000,2007,107.000
Volkswagen Jetta Europa,$32.900.000,2015,1
Volkswagen Jetta 2.5 Comfortline,$35.900.000,2011,123.000
Volkswagen Jetta TRENDLINE MEC  2.0L,$43.900.000,2012,109.531
Volkswagen Jetta 2.0 Gli,$99.900.000,2018,66.000
Volkswagen Jetta 1.4 Tsi Sportline,$75.000.000,2019,70.000
Volkswagen Jetta 2.0 Trendline 4 p 115 hp,$40.000.000,2014,112.000
Volkswagen Jetta 2.0 Gli,$51.000.000,2014,119.200
Volkswagen Jetta 2.0 Trendline CT,$27.500.000,2009,107.000
Volkswagen Jetta 1.4 Tsi Comfortline,$90.990.000,2023,5.000
Volkswagen Jetta 2.0 Europa,$34.500.000,2015,78.000
Volkswagen Jetta 2.0 Trendline 4 p,$42.000.000,2015,73.000
Volkswagen Jetta 1.4 Tsi Trendline,$75.000.000,2020,21.500
Volkswagen Jetta 2.0 Europa,$35.000.000,2015,82.500
Volkswagen Jetta TRENDLINE  2000CC MT AA,$33.000.000,2013,170.000
Volkswagen New Jetta Gli Turbo Tp 2.0 2020,$115.000.000,2020,54.000
Volkswagen Jetta 1.4 Tsi Highline,$72.900.000,2020,68.312
Volkswagen Jetta Trendline,$24.900.000,2009,108.079
Volkswagen Jetta 1.4 Tsi Highline,$119.800.000,2020,19.000
Volkswagen Jetta 1.4 Tsi Highline,$106.900.000,2023,1.926
Volkswagen Jetta 2.0 Europa Mecánico,$35.800.000,2015,111.500
Volkswagen Jetta 2.5 Trendline,$40.900.000,2014,84.000
Volkswagen Jetta 2.0 Trendline,$27.000.000,2008,124.000
Volkswagen Jetta 2.0 Europa,$39.890.000,2015,75.762
Volkswagen Jetta 1.4 Tsi Highline,$78.000.000,2020,42.000
Volkswagen NUEVO JETTA Comfortline,$45.900.000,2014,94.100
Volkswagen Jetta 2.0 Trendline,$24.900.000,2006,108.000
Volkswagen Jetta 1.8 Gli,$36.900.000,2011,101.561
Volkswagen Jetta 2.5 Trendline,$42.900.000,2014,82.900
Volkswagen Jetta 2.5 Comfortline,$64.900.000,2016,114.000
Volkswagen Jetta 2.5 Comfortline,$39.900.000,2013,85.000
Volkswagen Jetta 2.0 Gli,$128.900.000,2022,28.000
Volkswagen Jetta 1.4 Tsi R-line,$75.900.000,2019,81.603
Volkswagen Jetta 2.5 Highline,$55.800.000,2015,83.600
Volkswagen Jetta 2.0 Trendline,$24.500.000,2007,120.000
Volkswagen Jetta 1.4 Tsi Highline,$70.000.000,2019,54.071
Volkswagen Jetta 2.5 Highline,$48.900.000,2015,109.000
Volkswagen Jetta 1.4 Tsi Highline,$82.900.000,2019,48.000
Volkswagen Jetta 1.4 Tsi Sportline,$85.900.000,2020,40.140
Volkswagen Jetta 2.0 Trendline,$23.500.000,2006,138.000
Volkswagen Jetta 2.0 Trendline,$48.000.000,2017,56.000
Volkswagen Jetta 1.8 Gli,$46.900.000,2014,102.000
Volkswagen Jetta 1.8 Gli,$39.900.000,2014,143.800
Volkswagen Jetta 2.0 Europa,$32.900.000,2012,96.000
Volkswagen Jetta 2.5 Trendline At,$44.900.000,2014,125.000
Volkswagen Jetta 2.5 Comfortline,$42.900.000,2013,117.000
Volkswagen Jetta,$115.990.000,2024,0
Volkswagen Jetta 2.5 Trendline,$41.000.000,2014,75.805
Volkswagen Jetta 1.4 Tsi Comfortline,$59.900.000,2019,72.000
Volkswagen Jetta 1.4 Tsi Comfortline,$78.500.000,2022,39.756
Volkswagen Jetta 2.0 Comfortline,$43.900.000,2016,84.600
Volkswagen Jetta 2.0 Trendline,$31.900.000,2011,107.000
Volkswagen Jetta 1.8 Gli,$35.000.000,2011,96.000
Volkswagen Jetta 1.4 Tsi Highline,$79.900.000,2020,30.207
